Filename,FieldName,FieldAlias,Type,Length,Scale
交通面,参评城市名称,CPCSMC,Char,60,0
交通面,参评城市代码,CPCSDM,Char,6,0
交通面,要素代码,YSDM,Char,10,0
交通面,要素名称,YSMC,Char,60,0
交通面,要素面积,YSMJ,Double,15,6
交通线,目标标识码,MBBSM,Int,10,0
交通线,参评城市名称,CPCSMC,Char,60,0
交通线,要素代码,YSDM,Char,10,0
交通线,参评城市代码,CPCSDM,Char,6,0
交通线,要素名称,YSMC,Char,60,0
交通注记,目标标识码,MBBSM,Int,10,0
交通注记,要素代码,YSDM,Char,10,0
交通注记,注记内容,ZJNR,Char,60,0
交通注记,字体,ZJZT,Char,4,0
交通注记,颜色,ZJYS,Char,12,0
交通注记,磅数,ZJBS,Short,4,0
交通注记,形状,ZJXZ,Char,1,0
交通注记,下划线,ZJXH,Char,1,0
交通注记,宽度,KD,Double,15,1
交通注记,高度,GD,Double,15,1
交通注记,间隔,JG,Float,6,2
交通注记,注记点左下角X坐标,ZXJXZB,Double,15,3
交通注记,注记点左下角Y坐标,ZXJYZB,Double,15,3
交通注记,注记方向,ZJFX,Double,10,6
区域建设用地基本信息点状地物,目标标识码,MBBSM,Int,10,0
区域建设用地基本信息点状地物,要素代码,YSDM,Char,10,0
区域建设用地基本信息点状地物,要素名称,YSMC,Char,60,0
区域建设用地基本信息点状地物,X坐标,XZB,Double,15,4
区域建设用地基本信息点状地物,Y坐标,YZB,Double,15,4
区域建设用地基本信息线状地物,name,name,Char,50,0
区域建设用地基本信息线状地物,目标标识码,MBBSM,Int,10,0
区域建设用地基本信息线状地物,要素代码,YSDM,Char,10,0
区域建设用地基本信息线状地物,BSGC,BSGC,Short,4,0
区域建设用地基本信息下辖县市区面状图斑,目标标识码,MBBSM,Int,10,0
区域建设用地基本信息下辖县市区面状图斑,要素代码,YSDM,Char,10,0
区域建设用地基本信息下辖县市区面状图斑,区域名称,QYMC,Char,60,0
区域建设用地基本信息下辖县市区面状图斑,区域代码,QYDM,Char,6,0
区域建设用地基本信息下辖县市区面状图斑,区域级别,QYJB,Char,10,0
区域建设用地基本信息下辖县市区面状图斑,区域评价对象,QYPJDX,Char,50,0
区域建设用地基本信息下辖县市区面状图斑,评价时点,PJSD,Char,8,0
区域建设用地基本信息下辖县市区面状图斑,CZZRK,CZZRK,Double,10,4
区域建设用地基本信息下辖县市区面状图斑,CZCZRK,CZCZRK,Double,10,4
区域建设用地基本信息下辖县市区面状图斑,常住农村人口,CZNCRK,Double,10,4
区域建设用地基本信息下辖县市区面状图斑,HJZRK,HJZRK,Double,10,4
区域建设用地基本信息下辖县市区面状图斑,户籍农业人口,HJNYRK,Double,10,4
区域建设用地基本信息下辖县市区面状图斑,HJFNRK,HJFNRK,Double,10,4
区域建设用地基本信息下辖县市区面状图斑,地区生产总值(当年价),DQSCZZD,Double,15,4
区域建设用地基本信息下辖县市区面状图斑,地区生产总值,DQSCZZK,Double,15,4
区域建设用地基本信息下辖县市区面状图斑,全社会固定资产投资总额,GDZCTZ,Double,15,4
区域建设用地基本信息下辖县市区面状图斑,农用地面积,NYDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,过度利用区面积,GDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,园地面积,YDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,林地面积,LDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,牧草地面积,MCDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,其他农用地面积,QTNYDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,建设用地面积,JSYDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,城乡建设用地面积,CXJSMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,城镇工矿用地面积,CZGKMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,村庄用地面积,CZYDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,采矿用地面积,CKYDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,交通水利用地面积,JTSLMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,其他建设用地面积,QTJSMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,其他土地面积,QTTDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,土地总面积,TDZMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,新增建设用地面积,XZJSMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,新增城乡建设用地面积,XZCXMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,TDGYL,TDGYL,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,新增建设用地供应面积,XJSGYMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,存量建设用地供应面积,CJSGYMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,PZPCMJ,PZPCMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,截至评价基准年底的已供地面积,NDGDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,所属省地区生产总值(当年价),SDQSCZZD,Double,15,4
区域建设用地基本信息下辖县市区面状图斑,所属省地区生产总值,SDQSCZZK,Double,15,4
区域建设用地基本信息下辖县市区面状图斑,所属省建设用地总面积,SJSYDZMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,CZHYDMJ,CZHYDMJ,Double,15,6
区域建设用地基本信息下辖县市区面状图斑,所属地级市地区生产总值(当年价),DDQSCZZD,Double,15,4
区域建设用地基本信息下辖县市区面状图斑,所属地级市地区生产总值,DDQSCZZK,Double,15,4
区域建设用地基本信息下辖县市区面状图斑,所属地级市建设用地总面积,DJSYDZMJ,Double,15,6
区域用地评价图斑注记,目标标识码,MBBSM,Int,10,0
区域用地评价图斑注记,要素代码,YSDM,Char,10,0
区域用地评价图斑注记,注记内容,ZJNR,Char,60,0
区域用地评价图斑注记,字体,ZJZT,Char,4,0
区域用地评价图斑注记,颜色,ZJYS,Char,12,0
区域用地评价图斑注记,磅数,ZJBS,Short,4,0
区域用地评价图斑注记,形状,ZJXZ,Char,1,0
